Id,Species,SepalLenCm,SepalWidCm,PetalLenCm,PetalWidCm
16,Iris-setosa,5.7,4.4,1.5,0.4
34,Iris-setosa,5.5,4.2,1.4,0.2
33,Iris-setosa,5.2,4.1,1.5,0.1
15,Iris-setosa,5.8,4,1.2,0.2
6,Iris-setosa,5.4,3.9,1.7,0.4
17,Iris-setosa,5.4,3.9,1.3,0.4
19,Iris-setosa,5.7,3.8,1.7,0.3
20,Iris-setosa,5.1,3.8,1.5,0.3
45,Iris-setosa,5.1,3.8,1.9,0.4
47,Iris-setosa,5.1,3.8,1.6,0.2
118,Iris-virginica,7.7,3.8,6.7,2.2
132,Iris-virginica,7.9,3.8,6.4,2
11,Iris-setosa,5.4,3.7,1.5,0.2
22,Iris-setosa,5.1,3.7,1.5,0.4
49,Iris-setosa,5.3,3.7,1.5,0.2
5,Iris-setosa,5,3.6,1.4,0.2
23,Iris-setosa,4.6,3.6,1,0.2
110,Iris-virginica,7.2,3.6,6.1,2.5
1,Iris-setosa,5.1,3.5,1.4,0.2
18,Iris-setosa,5.1,3.5,1.4,0.3
28,Iris-setosa,5.2,3.5,1.5,0.2
37,Iris-setosa,5.5,3.5,1.3,0.2
41,Iris-setosa,5,3.5,1.3,0.3
44,Iris-setosa,5,3.5,1.6,0.6
7,Iris-setosa,4.6,3.4,1.4,0.3
8,Iris-setosa,5,3.4,1.5,0.2
12,Iris-setosa,4.8,3.4,1.6,0.2
21,Iris-setosa,5.4,3.4,1.7,0.2
25,Iris-setosa,4.8,3.4,1.9,0.2
27,Iris-setosa,5,3.4,1.6,0.4
29,Iris-setosa,5.2,3.4,1.4,0.2
32,Iris-setosa,5.4,3.4,1.5,0.4
40,Iris-setosa,5.1,3.4,1.5,0.2
86,Iris-versicolor,6,3.4,4.5,1.6
137,Iris-virginica,6.3,3.4,5.6,2.4
149,Iris-virginica,6.2,3.4,5.4,2.3
24,Iris-setosa,5.1,3.3,1.7,0.5
50,Iris-setosa,5,3.3,1.4,0.2
57,Iris-versicolor,6.3,3.3,4.7,1.6
101,Iris-virginica,6.3,3.3,6,2.5
125,Iris-virginica,6.7,3.3,5.7,2.1
145,Iris-virginica,6.7,3.3,5.7,2.5
3,Iris-setosa,4.7,3.2,1.3,0.2
30,Iris-setosa,4.7,3.2,1.6,0.2
36,Iris-setosa,5,3.2,1.2,0.2
43,Iris-setosa,4.4,3.2,1.3,0.2
48,Iris-setosa,4.6,3.2,1.4,0.2
51,Iris-versicolor,7,3.2,4.7,1.4
52,Iris-versicolor,6.4,3.2,4.5,1.5
71,Iris-versicolor,5.9,3.2,4.8,1.8
111,Iris-virginica,6.5,3.2,5.1,2
116,Iris-virginica,6.4,3.2,5.3,2.3
121,Iris-virginica,6.9,3.2,5.7,2.3
126,Iris-virginica,7.2,3.2,6,1.8
144,Iris-virginica,6.8,3.2,5.9,2.3
4,Iris-setosa,4.6,3.1,1.5,0.2
10,Iris-setosa,4.9,3.1,1.5,0.1
31,Iris-setosa,4.8,3.1,1.6,0.2
35,Iris-setosa,4.9,3.1,1.5,0.1
38,Iris-setosa,4.9,3.1,1.5,0.1
53,Iris-versicolor,6.9,3.1,4.9,1.5
66,Iris-versicolor,6.7,3.1,4.4,1.4
87,Iris-versicolor,6.7,3.1,4.7,1.5
138,Iris-virginica,6.4,3.1,5.5,1.8
140,Iris-virginica,6.9,3.1,5.4,2.1
141,Iris-virginica,6.7,3.1,5.6,2.4
142,Iris-virginica,6.9,3.1,5.1,2.3
2,Iris-setosa,4.9,3,1.4,0.2
13,Iris-setosa,4.8,3,1.4,0.1
14,Iris-setosa,4.3,3,1.1,0.1
26,Iris-setosa,5,3,1.6,0.2
39,Iris-setosa,4.4,3,1.3,0.2
46,Iris-setosa,4.8,3,1.4,0.3
62,Iris-versicolor,5.9,3,4.2,1.5
67,Iris-versicolor,5.6,3,4.5,1.5
76,Iris-versicolor,6.6,3,4.4,1.4
78,Iris-versicolor,6.7,3,5,1.7
85,Iris-versicolor,5.4,3,4.5,1.5
89,Iris-versicolor,5.6,3,4.1,1.3
92,Iris-versicolor,6.1,3,4.6,1.4
96,Iris-versicolor,5.7,3,4.2,1.2
103,Iris-virginica,7.1,3,5.9,2.1
105,Iris-virginica,6.5,3,5.8,2.2
106,Iris-virginica,7.6,3,6.6,2.1
113,Iris-virginica,6.8,3,5.5,2.1
117,Iris-virginica,6.5,3,5.5,1.8
